id	uri	siglaTipo	codTipo	numero	ano	ementa	ementa_simplificada	apreciacao	e_urgencia	e_projeto_resoluç�
1671859	https://dadosabertos.camara.leg.br/api/v2/proposicoes/1671859	REQ	392	2727	2015	"Requer regime de urgência para a apreciação do Projeto de Lei n° 8.170, de 2014, que 'Concede anistia aos débitos decorrentes de multas cominadas pelo IBAMA aos Municípios por infrações administrativas ambientais ocorridas antes da vigência da Lei Complementar n° 140, de 8 de dezembro de 2011, nos termos que es""	requer regime de urgência para a apreciação do projeto de lei n 8.170, de 2014, que 'concede anistia aos débitos decorrentes de multas cominadas pelo ibama aos municípios por infrações administrativas ambientais ocorridas antes da vigência da lei complementar n 140, de 8 de dezembro de 2011, nos termos que espe"""""	projeto de lei n 8.170, de 2014	TRUE	FALSE	
2080942	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2080942	REQ	392	4250	2016	"Com base no art. 155 do Regimento Interno, requer regime de urgência para a apreciação do PRC nº 134/2016, que determina o recálculo da proporcionalidade partidária na Câmara dos Deputados na 55ª Legislatura, após as migrações partidárias ocorridas no período autorizado pela Emenda Constitucional nº 91, de 18 de fevereiro de 2016; acrescenta dispositivo ao Regimento Interno para disciplinar a votação dos suplentes no âmbito das Comissões da Câmara dos Deputados e dá ""	com base no art. 155 do regimento interno, requer regime de urgência para a apreciação do prc n 134/2016, que determina o recálculo da proporcionalidade partidária na câmara dos deputados na 55ª legislatura, após as migrações partidárias ocorridas no período autorizado pela emenda constitucional n 91, de 18 de fevereiro de 2016; acrescenta dispositivo ao regimento interno para disciplinar a votação dos suplentes no âmbito das comissões da câmara dos deputados e dá ou"""""	prc n 134/2016	TRUE	FALSE	
2231109	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2231109	REQ	392	3078	2019	"Requeremos a V.Exa, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei n. 5.738, de 2019, que 'altera a Lei n. 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para dispor sobre a utilização, pelos órgãos de segurança pública da União, dos Estados e do Distrito Federal, de veículos recolhidos e sem i""	requeremos a v.exa, nos termos do artigo 155 do regimento interno da câmara dos deputados, urgência para apreciação do projeto de lei n. 5.738, de 2019, que 'altera a lei n. 9.503, de 23 de setembro de 1997 (código de trânsito brasileiro), para dispor sobre a utilização, pelos órgãos de segurança pública da união, dos estados e do distrito federal, de veículos recolhidos e sem i"""""	projeto de lei n. 5.738, de 2019	TRUE	FALSE	
2248032	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2248032	REQ	392	665	2020	"Requer regime de urgência para apreciação do PL nº 820/2020, que -Proíbe, pelo período que determina, a suspensão na prestação de serviços públicos de energia elétrica, telefonia fixa e móvel, água e esgot""	requer regime de urgência para apreciação do pl n 820/2020, que -proíbe, pelo período que determina, a suspensão na prestação de serviços públicos de energia elétrica, telefonia fixa e móvel, água e esgoto"""""	pl n 820/2020	TRUE	FALSE	
2269909	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269909	REQ	392	148	2021	"Requer regime de urgência para a apreciação do Projeto de Lei n. 1.615, de 2019, que Dispõe sobre a classificação da visão monocular como deficiência sensorial, do tipo visual, assegurando a pessoa com visão monocular os mesmos direitos e benefícios previstos na legislação para a pessoa com deficiência. Altera a Lei 13.146, de 6 de julho de 2015   Estatuto  da Pessoa com Deficiência , e dá outras""	requer regime de urgência para a apreciação do projeto de lei n. 1.615, de 2019, que dispõe sobre a classificação da visão monocular como deficiência sensorial, do tipo visual, assegurando a pessoa com visão monocular os mesmos direitos e benefícios previstos na legislação para a pessoa com deficiência. altera a lei 13.146, de 6 de julho de 2015 estatuto da pessoa com deficiência , e dá outras"""""	projeto de lei n. 1.615, de 2019	TRUE	FALSE	
2280495	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2280495	REQ	392	954	2021	"Requer urgência para o PL 182/2019, que “acrescenta o art. 2º-A à Lei nº 12.846, de 1º de agosto de 2013, para tornar obrigatória a comprovação de realização de programa de integridade aos participantes das contratações de grande vulto com a Administr""	requer urgência para o pl 182/2019, que “acrescenta o art. 2-a à lei n 12.846, de 1 de agosto de 2013, para tornar obrigatória a comprovação de realização de programa de integridade aos participantes das contratações de grande vulto com a administraç"""""	pl 182/2019	TRUE	FALSE	
2280496	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2280496	REQ	392	955	2021	"Requer urgência para o PLP 6/2019, que “altera o art. 1º da Lei Complementar nº 64, de 18 de maio de 1990, para aumentar para vinte anos o prazo de inelegibilidade dos condenados, em decisão transitada em julgado ou proferida por órgão judicial colegiado, por crime contra o patrimônio ""	requer urgência para o plp 6/2019, que “altera o art. 1 da lei complementar n 64, de 18 de maio de 1990, para aumentar para vinte anos o prazo de inelegibilidade dos condenados, em decisão transitada em julgado ou proferida por órgão judicial colegiado, por crime contra o patrimônio p�"""""	plp 6/2019	TRUE	FALSE	
2280497	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2280497	REQ	392	956	2021	"Requer urgência para o PL 448/2019, que “regulamenta limite máximo de comissão cobrada pelas empresas de transporte remunerado privado individ""	requer urgência para o pl 448/2019, que “regulamenta limite máximo de comissão cobrada pelas empresas de transporte remunerado privado individ"""""	pl 448/2019	TRUE	FALSE	
2280498	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2280498	REQ	392	957	2021	"Requer urgência para o PL 185/2019, que “torna imprescritíveis os crimes que resultem em prejuízo ao er�""	requer urgência para o pl 185/2019, que “torna imprescritíveis os crimes que resultem em prejuízo ao er�"""""	pl 185/2019	TRUE	FALSE	
2280741	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2280741	REQ	392	971	2021	"Requer urgência para o PL 1.605/2019, que institui o Estatuto da Pessoa com Câncer e dá outras providênci""	requer urgência para o pl 1.605/2019, que institui o estatuto da pessoa com câncer e dá outras providênci"""""	pl 1.605/2019	TRUE	FALSE	
2380156	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2380156	REQ	392	2586	2023	"Requer regime de urgência para a apreciação do Projeto de Lei nº 2.368, de 2021, que “Altera a Lei nº 9.394, de 20 de dezembro de 1996, para conferir, ao aluno em situação de vulnerabilidade, prioridade de matrícula em jornada de tempo integral, em todas as etapas da educação básica, na rede públi""	requer regime de urgência para a apreciação do projeto de lei n 2.368, de 2021, que “altera a lei n 9.394, de 20 de dezembro de 1996, para conferir, ao aluno em situação de vulnerabilidade, prioridade de matrícula em jornada de tempo integral, em todas as etapas da educação básica, na rede pública"""""	projeto de lei n 2.368, de 2021	TRUE	FALSE	
2411815	https://dadosabertos.camara.leg.br/api/v2/proposicoes/2411815	REQ	392	4244	2023	"Requer regime de urgência para apreciação do PL 1269/2022, que “Altera a Lei nº 13.097, de 19 de janeiro de 2015, para garantir a eficácia dos negócios jurídicos relativos a imóveis em cuja matrícula inexista averbação, mediante decisão judicial, de qualquer tipo de constri""	requer regime de urgência para apreciação do pl 1269/2022, que “altera a lei n 13.097, de 19 de janeiro de 2015, para garantir a eficácia dos negócios jurídicos relativos a imóveis em cuja matrícula inexista averbação, mediante decisão judicial, de qualquer tipo de constri�"""""	pl 1269/2022	TRUE	FALSE	
488578	https://dadosabertos.camara.leg.br/api/v2/proposicoes/488578	REQ	392	7535	2010	Instui normas sobre jogos de bingo em todo Território Nacional e dá outras providênci	instui normas sobre jogos de bingo em todo território nacional e dá outras providênci	REQ	FALSE	FALSE
489589	https://dadosabertos.camara.leg.br/api/v2/proposicoes/489589	REQ	392	7564	2010	"Requeremos, nos termos do art. 155 do RICD, urgência para o Projeto de Resolução que \Altera o art. 105 do RICD, aprovado pela Resolução nº 17, de 1989, para estabelecer novas regras acerca do arquivamento de propos""."""	"requeremos, nos termos do art. 155 do ricd, urgência para o projeto de resolução que \altera o art. 105 do ricd, aprovado pela resolução n 17, de 1989, para estabelecer novas regras acerca do arquivamento de proposi""."""	REQ	TRUE	TRUE
490056	https://dadosabertos.camara.leg.br/api/v2/proposicoes/490056	REQ	392	7585	2010	Requeremos, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei (PL) nº 6.582, de 2009, que altera a Lei nº 8.112, de 11 de dezembro de 1990, para estabelecer o direito à nomeação nos concursos 	requeremos, nos termos do artigo 155 do regimento interno da câmara dos deputados, urgência para apreciação do projeto de lei (pl) n 6.582, de 2009, que altera a lei n 8.112, de 11 de dezembro de 1990, para estabelecer o direito à nomeação nos concursos p�	 projeto de lei (pl) n 6.582, de 2009	TRUE	FALSE
506803	https://dadosabertos.camara.leg.br/api/v2/proposicoes/506803	REQ	392	2058	2011	Requer a inclusão em pauta do Plano Nacional de Juventude	requer a inclusão em pauta do plano nacional de juventude	REQ	FALSE	FALSE
506804	https://dadosabertos.camara.leg.br/api/v2/proposicoes/506804	REQ	392	2059	2011	Requer a inclusão em pauta do Estatuto da Juventude	requer a inclusão em pauta do estatuto da juventude	REQ	FALSE	FALSE
542817	https://dadosabertos.camara.leg.br/api/v2/proposicoes/542817	REQ	392	5087	2012	Requer urgência nos termos do art. 155 do Regimento	requer urgência nos termos do art. 155 do regimento	REQ	TRUE	FALSE
544868	https://dadosabertos.camara.leg.br/api/v2/proposicoes/544868	REQ	392	5298	2012	Dispõe sobre a remuneração dos membros do Congresso Nacional durante a 54ª Legislat	dispõe sobre a remuneração dos membros do congresso nacional durante a 54ª legislat	REQ	FALSE	FALSE
562497	https://dadosabertos.camara.leg.br/api/v2/proposicoes/562497	REQ	392	6523	2012	Requer o regime de urgência na apreciação da PEC 555/20	requer o regime de urgência na apreciação da pec 555/20	pec 555/2006	TRUE	FALSE
577876	https://dadosabertos.camara.leg.br/api/v2/proposicoes/577876	REQ	392	7827	2013	Estabelece normas gerais de política urbana e de proteção à saúde e ao meio ambiente associadas à implantação e ao compartilhamento da infraestrutura de telecomun	estabelece normas gerais de política urbana e de proteção à saúde e ao meio ambiente associadas à implantação e ao compartilhamento da infraestrutura de telecomun	REQ	FALSE	FALSE
